candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Beast One North,140,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Beast One North,330,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Beast One North,11,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Beast One North,166,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Beast One North,257,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Beast One North,32,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Beast One South,85,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Beast One South,102,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Beast One South,4,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Beast One South,98,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Beast One South,87,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Beast One South,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Beat Two Water Valley,332,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Beat Two Water Valley,189,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Beat Two Water Valley,8,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Beat Two Water Valley,368,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Beat Two Water Valley,138,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Beat Two Water Valley,20,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Five Coffeeville,114,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Five Coffeeville,220,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Five Coffeeville,7,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Five Coffeeville,144,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Five Coffeeville,168,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Five Coffeeville,20,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Five Scobery,52,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Five Scobery,64,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Five Scobery,1,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Five Scobery,59,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Five Scobery,59,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Five Scobery,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Five Scuna - Vann'S Mill,26,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Five Scuna - Vann'S Mill,57,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Five Scuna - Vann'S Mill,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Five Scuna - Vann'S Mill,37,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Five Scuna - Vann'S Mill,39,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Five Scuna - Vann'S Mill,9,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Five Tillatoba,35,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Five Tillatoba,83,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Five Tillatoba,0,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Five Tillatoba,45,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Five Tillatoba,61,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Five Tillatoba,6,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Four Coffeeville,214,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Four Coffeeville,54,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Four Coffeeville,0,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Four Coffeeville,216,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Four Coffeeville,45,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Four Coffeeville,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Four Oakland,278,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Four Oakland,190,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Four Oakland,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Four Oakland,293,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Four Oakland,157,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Four Oakland,15,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Three North West,103,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Three North West,272,,2
Shawn O'Hara,U.S. Senate,,Reform,Yalobusha,Three North West,6,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yalobusha,Three North West,131,,2
Troy Ray,U.S. House,2,Independent,Yalobusha,Three North West,210,,2
Shelley Shoemake,U.S. House,2,Reform,Yalobusha,Three North West,25,,2
Travis W. Childers,U.S. Senate,,Democrat,Yalobusha,Three Sylva Rena,86,,2
Thad Cochran,U.S. Senate,,Republican,Yalobusha,Three Sylva Rena,149,,2
