candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Clarke,Beaverdam,5,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Beaverdam,20,
Thad Cochran,U.S. Senate,,Republican,Clarke,Carmichael,35,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Carmichael,51,
Thad Cochran,U.S. Senate,,Republican,Clarke,Desoto,23,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Desoto,26,
Thad Cochran,U.S. Senate,,Republican,Clarke,East Quitman,207,
Chris McDaniel,U.S. Senate,,Republican,Clarke,East Quitman,301,
Thad Cochran,U.S. Senate,,Republican,Clarke,Energy,37,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Energy,46,
Thad Cochran,U.S. Senate,,Republican,Clarke,Enterprise,116,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Enterprise,246,
Thad Cochran,U.S. Senate,,Republican,Clarke,Harmony District 1,3,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Harmony District 1,28,
Thad Cochran,U.S. Senate,,Republican,Clarke,Harmony District 2,24,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Harmony District 2,69,
Thad Cochran,U.S. Senate,,Republican,Clarke,Langsdale,7,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Langsdale,4,
Thad Cochran,U.S. Senate,,Republican,Clarke,Manassa,24,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Manassa,30,
Thad Cochran,U.S. Senate,,Republican,Clarke,North Quitman,70,
Chris McDaniel,U.S. Senate,,Republican,Clarke,North Quitman,62,
Thad Cochran,U.S. Senate,,Republican,Clarke,Oakgrove,7,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Oakgrove,18,
Thad Cochran,U.S. Senate,,Republican,Clarke,Pachuta,20,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Pachuta,29,
Thad Cochran,U.S. Senate,,Republican,Clarke,Pineridge,12,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Pineridge,15,
Thad Cochran,U.S. Senate,,Republican,Clarke,Rolling Creek,31,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Rolling Creek,65,
Thad Cochran,U.S. Senate,,Republican,Clarke,Shubuta,18,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Shubuta,44,
Thad Cochran,U.S. Senate,,Republican,Clarke,Snell,31,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Snell,45,
Thad Cochran,U.S. Senate,,Republican,Clarke,Souinlovie,20,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Souinlovie,42,
Thad Cochran,U.S. Senate,,Republican,Clarke,South Quitman,47,
Chris McDaniel,U.S. Senate,,Republican,Clarke,South Quitman,81,
Thad Cochran,U.S. Senate,,Republican,Clarke,Springs,12,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Springs,21,
Thad Cochran,U.S. Senate,,Republican,Clarke,Stonewall District 1,58,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Stonewall District 1,107,
Thad Cochran,U.S. Senate,,Republican,Clarke,Stonewall District 3,18,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Stonewall District 3,29,
Thad Cochran,U.S. Senate,,Republican,Clarke,Union,111,
Chris McDaniel,U.S. Senate,,Republican,Clarke,Union,139,
Thad Cochran,U.S. Senate,,Republican,Clarke,,936,
Chris McDaniel,U.S. Senate,,Republican,Clarke,,1518,TRUE
