candidate,office,district,party,county,precinct,votes,winner
David Baria,US Senate,,DEM,,Adams,354,
Jensen Bohren,US Senate,,DEM,,Adams,53,
Jerone Garland,US Senate,,DEM,,Adams,85,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Adams,116,
Omeria Scott,US Senate,,DEM,,Adams,970,
Howard Sherman,US Senate,,DEM,,Adams,554,
Randy Mack Wadkins,US House Representatives,1,DEM,,Adams,,
Bennie Thompson,US House Representatives,2,DEM,,Adams,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Adams,473,
Michael Ted Evans,US House Representatives,3,DEM,,Adams,1528,
Jeramey Anderson ,US House Representatives,4,DEM,,Adams,,
David Baria,US Senate,,DEM,,Alcorn,182,
Jensen Bohren,US Senate,,DEM,,Alcorn,20,
Jerone Garland,US Senate,,DEM,,Alcorn,22,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Alcorn,11,
Omeria Scott,US Senate,,DEM,,Alcorn,25,
Howard Sherman,US Senate,,DEM,,Alcorn,106,
Randy Mack Wadkins,US House Representatives,1,DEM,,Alcorn,294,
Bennie Thompson,US House Representatives,2,DEM,,Alcorn,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Alcorn,,
Michael Ted Evans,US House Representatives,3,DEM,,Alcorn,,
Jeramey Anderson ,US House Representatives,4,DEM,,Alcorn,,
David Baria,US Senate,,DEM,,Amite,164,
Jensen Bohren,US Senate,,DEM,,Amite,29,
Jerone Garland,US Senate,,DEM,,Amite,61,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Amite,49,
Omeria Scott,US Senate,,DEM,,Amite,135,
Howard Sherman,US Senate,,DEM,,Amite,123,
Randy Mack Wadkins,US House Representatives,1,DEM,,Amite,,
Bennie Thompson,US House Representatives,2,DEM,,Amite,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Amite,158,
Michael Ted Evans,US House Representatives,3,DEM,,Amite,372,
Jeramey Anderson ,US House Representatives,4,DEM,,Amite,,
David Baria,US Senate,,DEM,,Attala,127,
Jensen Bohren,US Senate,,DEM,,Attala,17,
Jerone Garland,US Senate,,DEM,,Attala,428,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Attala,20,
Omeria Scott,US Senate,,DEM,,Attala,23,
Howard Sherman,US Senate,,DEM,,Attala,137,
Randy Mack Wadkins,US House Representatives,1,DEM,,Attala,,
Bennie Thompson,US House Representatives,2,DEM,,Attala,739,
Kevin Michael Aycox,US House Representatives,3,DEM,,Attala,,
Michael Ted Evans,US House Representatives,3,DEM,,Attala,,
Jeramey Anderson ,US House Representatives,4,DEM,,Attala,,
David Baria,US Senate,,DEM,,Benton,59,
Jensen Bohren,US Senate,,DEM,,Benton,10,
Jerone Garland,US Senate,,DEM,,Benton,11,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Benton,15,
Omeria Scott,US Senate,,DEM,,Benton,35,
Howard Sherman,US Senate,,DEM,,Benton,62,
Randy Mack Wadkins,US House Representatives,1,DEM,,Benton,152,
Bennie Thompson,US House Representatives,2,DEM,,Benton,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Benton,,
Michael Ted Evans,US House Representatives,3,DEM,,Benton,,
Jeramey Anderson ,US House Representatives,4,DEM,,Benton,,
David Baria,US Senate,,DEM,,Bolivar,281,
Jensen Bohren,US Senate,,DEM,,Bolivar,41,
Jerone Garland,US Senate,,DEM,,Bolivar,40,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Bolivar,64,
Omeria Scott,US Senate,,DEM,,Bolivar,319,
Howard Sherman,US Senate,,DEM,,Bolivar,449,
Randy Mack Wadkins,US House Representatives,1,DEM,,Bolivar,,
Bennie Thompson,US House Representatives,2,DEM,,Bolivar,1245,
Kevin Michael Aycox,US House Representatives,3,DEM,,Bolivar,,
Michael Ted Evans,US House Representatives,3,DEM,,Bolivar,,
Jeramey Anderson ,US House Representatives,4,DEM,,Bolivar,,
David Baria,US Senate,,DEM,,Calhoun,55,
Jensen Bohren,US Senate,,DEM,,Calhoun,8,
Jerone Garland,US Senate,,DEM,,Calhoun,9,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Calhoun,7,
Omeria Scott,US Senate,,DEM,,Calhoun,55,
Howard Sherman,US Senate,,DEM,,Calhoun,105,
Randy Mack Wadkins,US House Representatives,1,DEM,,Calhoun,175,
Bennie Thompson,US House Representatives,2,DEM,,Calhoun,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Calhoun,,
Michael Ted Evans,US House Representatives,3,DEM,,Calhoun,,
Jeramey Anderson ,US House Representatives,4,DEM,,Calhoun,,
David Baria,US Senate,,DEM,,Carroll,59,
Jensen Bohren,US Senate,,DEM,,Carroll,8,
Jerone Garland,US Senate,,DEM,,Carroll,16,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Carroll,18,
Omeria Scott,US Senate,,DEM,,Carroll,69,
Howard Sherman,US Senate,,DEM,,Carroll,86,
Randy Mack Wadkins,US House Representatives,1,DEM,,Carroll,,
Bennie Thompson,US House Representatives,2,DEM,,Carroll,258,
Kevin Michael Aycox,US House Representatives,3,DEM,,Carroll,,
Michael Ted Evans,US House Representatives,3,DEM,,Carroll,,
Jeramey Anderson ,US House Representatives,4,DEM,,Carroll,,
David Baria,US Senate,,DEM,,Chickasaw ,98,
Jensen Bohren,US Senate,,DEM,,Chickasaw ,22,
Jerone Garland,US Senate,,DEM,,Chickasaw ,16,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Chickasaw ,23,
Omeria Scott,US Senate,,DEM,,Chickasaw ,176,
Howard Sherman,US Senate,,DEM,,Chickasaw ,202,
Randy Mack Wadkins,US House Representatives,1,DEM,,Chickasaw ,340,
Bennie Thompson,US House Representatives,2,DEM,,Chickasaw ,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Chickasaw ,,
Michael Ted Evans,US House Representatives,3,DEM,,Chickasaw ,,
Jeramey Anderson ,US House Representatives,4,DEM,,Chickasaw ,,
David Baria,US Senate,,DEM,,Choctaw ,36,
Jensen Bohren,US Senate,,DEM,,Choctaw ,20,
Jerone Garland,US Senate,,DEM,,Choctaw ,69,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Choctaw ,10,
Omeria Scott,US Senate,,DEM,,Choctaw ,31,
Howard Sherman,US Senate,,DEM,,Choctaw ,90,
Randy Mack Wadkins,US House Representatives,1,DEM,,Choctaw ,172,
Bennie Thompson,US House Representatives,2,DEM,,Choctaw ,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Choctaw ,,
Michael Ted Evans,US House Representatives,3,DEM,,Choctaw ,,
Jeramey Anderson ,US House Representatives,4,DEM,,Choctaw ,,
David Baria,US Senate,,DEM,,Claiborne,160,
Jensen Bohren,US Senate,,DEM,,Claiborne,21,
Jerone Garland,US Senate,,DEM,,Claiborne,29,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Claiborne,49,
Omeria Scott,US Senate,,DEM,,Claiborne,218,
Howard Sherman,US Senate,,DEM,,Claiborne,196,
Randy Mack Wadkins,US House Representatives,1,DEM,,Claiborne,,
Bennie Thompson,US House Representatives,2,DEM,,Claiborne,705,
Kevin Michael Aycox,US House Representatives,3,DEM,,Claiborne,,
Michael Ted Evans,US House Representatives,3,DEM,,Claiborne,,
Jeramey Anderson ,US House Representatives,4,DEM,,Claiborne,,
David Baria,US Senate,,DEM,,Clarke,70,
Jensen Bohren,US Senate,,DEM,,Clarke,26,
Jerone Garland,US Senate,,DEM,,Clarke,22,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Clarke,17,
Omeria Scott,US Senate,,DEM,,Clarke,382,
Howard Sherman,US Senate,,DEM,,Clarke,177,
Randy Mack Wadkins,US House Representatives,1,DEM,,Clarke,,
Bennie Thompson,US House Representatives,2,DEM,,Clarke,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Clarke,142,
Michael Ted Evans,US House Representatives,3,DEM,,Clarke,355,
Jeramey Anderson ,US House Representatives,4,DEM,,Clarke,120,
David Baria,US Senate,,DEM,,Clay,230,
Jensen Bohren,US Senate,,DEM,,Clay,37,
Jerone Garland,US Senate,,DEM,,Clay,43,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Clay,41,
Omeria Scott,US Senate,,DEM,,Clay,159,
Howard Sherman,US Senate,,DEM,,Clay,457,
Randy Mack Wadkins,US House Representatives,1,DEM,,Clay,723,
Bennie Thompson,US House Representatives,2,DEM,,Clay,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Clay,,
Michael Ted Evans,US House Representatives,3,DEM,,Clay,,
Jeramey Anderson ,US House Representatives,4,DEM,,Clay,,
David Baria,US Senate,,DEM,,Coahoma,272,
Jensen Bohren,US Senate,,DEM,,Coahoma,21,
Jerone Garland,US Senate,,DEM,,Coahoma,33,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Coahoma,29,
Omeria Scott,US Senate,,DEM,,Coahoma,204,
Howard Sherman,US Senate,,DEM,,Coahoma,207,
Randy Mack Wadkins,US House Representatives,1,DEM,,Coahoma,,
Bennie Thompson,US House Representatives,2,DEM,,Coahoma,753,
Kevin Michael Aycox,US House Representatives,3,DEM,,Coahoma,,
Michael Ted Evans,US House Representatives,3,DEM,,Coahoma,,
Jeramey Anderson ,US House Representatives,4,DEM,,Coahoma,,
David Baria,US Senate,,DEM,,Copiah,320,
Jensen Bohren,US Senate,,DEM,,Copiah,47,
Jerone Garland,US Senate,,DEM,,Copiah,47,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Copiah,95,
Omeria Scott,US Senate,,DEM,,Copiah,137,
Howard Sherman,US Senate,,DEM,,Copiah,453,
Randy Mack Wadkins,US House Representatives,1,DEM,,Copiah,,
Bennie Thompson,US House Representatives,2,DEM,,Copiah,1130,
Kevin Michael Aycox,US House Representatives,3,DEM,,Copiah,,
Michael Ted Evans,US House Representatives,3,DEM,,Copiah,,
Jeramey Anderson ,US House Representatives,4,DEM,,Copiah,,
David Baria,US Senate,,DEM,,Covington ,113,
Jensen Bohren,US Senate,,DEM,,Covington ,25,
Jerone Garland,US Senate,,DEM,,Covington ,29,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Covington ,40,
Omeria Scott,US Senate,,DEM,,Covington ,232,
Howard Sherman,US Senate,,DEM,,Covington ,191,
Randy Mack Wadkins,US House Representatives,1,DEM,,Covington ,,
Bennie Thompson,US House Representatives,2,DEM,,Covington ,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Covington ,152,
Michael Ted Evans,US House Representatives,3,DEM,,Covington ,435,
Jeramey Anderson ,US House Representatives,4,DEM,,Covington ,,
David Baria,US Senate,,DEM,,Desoto,845,
Jensen Bohren,US Senate,,DEM,,Desoto,112,
Jerone Garland,US Senate,,DEM,,Desoto,157,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Desoto,130,
Omeria Scott,US Senate,,DEM,,Desoto,282,
Howard Sherman,US Senate,,DEM,,Desoto,686,
Randy Mack Wadkins,US House Representatives,1,DEM,,Desoto,1978,
Bennie Thompson,US House Representatives,2,DEM,,Desoto,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Desoto,,
Michael Ted Evans,US House Representatives,3,DEM,,Desoto,,
Jeramey Anderson ,US House Representatives,4,DEM,,Desoto,,
David Baria,US Senate,,DEM,,Forrest,501,
Jensen Bohren,US Senate,,DEM,,Forrest,70,
Jerone Garland,US Senate,,DEM,,Forrest,89,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Forrest,81,
Omeria Scott,US Senate,,DEM,,Forrest,819,
Howard Sherman,US Senate,,DEM,,Forrest,477,
Randy Mack Wadkins,US House Representatives,1,DEM,,Forrest,,
Bennie Thompson,US House Representatives,2,DEM,,Forrest,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Forrest,,
